code,name,lat,lng,neighbours,weather_station
ESK,Enschede Kennispark,52.23749923706,6.8388891220093,"['ES', 'HGL']",290
EML,Ermelo,52.301666259766,5.6147222518921,"['HD', 'PT']",265
ETN,Etten-Leur,51.57500076294,4.6358332633972,"['BD', 'RSD']",350
EGH,Eygelshoven,50.890556335449,6.0450000762939,"['CVM', 'LG']",380
EGHM,Eygelshoven Markt,50.896049819644,6.0602474212646,['LG'],380
FWD,Feanwâlden,53.2351834,5.9886615,"['DWE', 'HDG']",270
FN,Franeker,53.1824488,5.5483094,"['DRP', 'HLG']",270
GDR,Gaanderen,51.93074,6.3486,"['DTC', 'TBG']",275
GDM,Geldermalsen,51.88301,5.27127,"['BSD', 'CL', 'TPSW', 'ZBM']",260
GP,Geldrop,51.419723510742,5.5505557060242,"['EHV', 'HZE']",370
GLN,Geleen Oost,50.966945648193,5.8430557250977,"['SBK', 'STD']",380
LUT,Geleen-Lutterade,50.975555419922,5.8247222900391,"['BK', 'STD']",380
GZ,Gilze-Rijen,51.583610534668,4.9261112213135,"['BD', 'TBR']",350
GBR,Glanerbrug,52.218612670898,6.9744443893433,['ESE'],290
GS,Goes,51.498054504395,3.8905556201935,"['ARN', 'BZL']",311
GO,Goor,52.230278015137,6.5844445228577,"['DDN', 'LC']",290
GR,Gorinchem,51.833889007568,4.9683332443237,"['AKL', 'BHDV']",348
GD,Gouda,52.017501831055,4.7044444084167,"['GDG', 'LLZM', 'NWK', 'WADT']",348
GDG,Gouda Goverwelle,52.014999389648,4.7408332824707,"['GD', 'WD']",348
GBG,Gramsbergen,52.60916519165,6.6758332252502,"['CO', 'HDB']",290
GK,Grijpskerk,53.255740325573,6.3097786903381,"['BP', 'ZH']",280
GN,Groningen,53.210556030273,6.5647220611572,"['GERP', 'GNN', 'ZH']",280
GERP,Groningen Europapark,53.20480027,6.5854178,"['GN', 'HRN', 'KW']",280
GNN,Groningen Noord,53.2301469,6.5563172,"['GN', 'SWD']",280
GW,Grou-Jirnsum,53.088890075684,5.8225002288818,"['AKM', 'LW']",270
HLM,Haarlem,52.38777923584,4.6383333206177,"['BLL', 'HAD', 'HLMS', 'OVN']",240
HLMS,Haarlem Spaarnwoude,52.382778167725,4.6730556488037,"['HLM', 'HWZB']",240
HWZB,Halfweg-Zwanenburg,52.385935,4.747165,"['ASS', 'HLMS']",240
HDB,Hardenberg,52.572776794434,6.6286110877991,"['GBG', 'MRB']",290
HD,Harderwijk,52.337501525879,5.619722366333,"['EML', 'NS']",265
HBZM,Hardinxveld Blauwe Zoom,51.82944,4.81556,"['GND', 'SDT']",348
GND,Hardinxveld-Giessendam,51.830554962158,4.8358335494995,"['BHDV', 'HBZM']",348
HRN,Haren,53.176109313965,6.6172223091125,"['ASN', 'GERP']",280
HLG,Harlingen,53.1704205,5.4251932,"['FN', 'HLGH']",270
HLGH,Harlingen Haven,53.174917,5.4112885,['HLG'],270
HK,Heemskerk,52.495277404785,4.6869444847107,"['BV', 'UTG']",240
HAD,Heemstede-Aerdenhout,52.35916519165,4.6066665649414,"['HIL', 'HLM']",240
HR,Heerenveen,52.961387634277,5.9141664505005,"['AKM', 'HRY']",270
HRY,Heerenveen IJsstadion,52.935276031494,5.9438886642456,"['HR', 'WV']",270
HWD,Heerhugowaard,52.669723510742,4.8227777481079,"['AMRN', 'OBD', 'SGN']",249
HRL,Heerlen,50.89083480835,5.9749999046326,"['HB', 'HRLW', 'LG']",380
HRLW,Heerlen Woonboulevard,50.896667,5.952222,"['HRL', 'VDL']",380
HZE,Heeze,51.384998321533,5.5694446563721,"['GP', 'MZ']",370
HLO,Heiloo,52.599445343018,4.7005553245544,"['AMR', 'CAS']",249
HNO,Heino,52.427223205566,6.2211112976074,"['RAT', 'ZL']",275
HM,Helmond,51.475555419922,5.6619443893433,"['HMBH', 'HMH']",370
HMH,Helmond 't Hout,51.46794,5.63085,"['HM', 'HMBV']",370
HMBV,Helmond Brandevoort,51.462223052979,5.6072220802307,"['EHV', 'HMH']",370
HMBH,Helmond Brouwhuis,51.47068,5.70177,"['DN', 'HM']",375
HMN,Hemmen-Dodewaard,51.9222129,5.6737254,"['OP', 'ZA']",275
HGL,Hengelo,52.261665344238,6.7938890457153,"['BN', 'ESK', 'HGLG', 'HGLO']",290
HGLG,Hengelo Gezondheidspark,52.261667,6.767778,"['DDN', 'HGL']",290
HGLO,Hengelo Oost,52.268890380859,6.8194446563721,"['HGL', 'ODZ']",290
HIL,Hillegom,52.302501678467,4.5655555725098,"['HAD', 'VH']",240
HVS,Hilversum,52.225833892822,5.1819443702698,"['BRN', 'HVSM', 'HVSP']",265
HVSM,Hilversum Media Park,52.238056182861,5.1738886833191,"['BSMZ', 'HVS']",265
HVSP,Hilversum Sportpark,52.216110229492,5.1872220039368,"['HOR', 'HVS']",265
HNP,Hindeloopen,52.9464903,5.423063,"['KMW', 'WK']",270
HB,Hoensbroek,50.905555725098,5.9305553436279,"['HRL', 'NH']",380
HVL,Hoevelaken,52.16652,5.45718,"['AMF', 'BNN']",265
HOR,Hollandsche Rading,52.17777633667,5.1791667938232,"['HVSP', 'UTO']",265
HON,Holten,52.283889770508,6.42027759552,"['DVC', 'RSN']",290
HFD,Hoofddorp,52.293334960938,4.7005553245544,"['NVP', 'RTD', 'SHL']",240
HGV,Hoogeveen,52.733890533447,6.4736108779907,"['BL', 'MP']",280
HGZ,Hoogezand-Sappemeer,53.159818131676,6.7707538604736,"['MTH', 'ZB']",280
HKS,Hoogkarspel,52.69055557251,5.1838889122009,"['BKG', 'HNK']",249
HN,Hoorn,52.644721984863,5.0555553436279,"['HNK', 'OBD', 'PMO']",249
HNK,Hoorn Kersenboogerd,52.653610229492,5.0855555534363,"['HKS', 'HN']",249
HRT,Horst-Sevenum,51.426387786865,6.0422220230103,"['BR', 'DN']",392
HTN,Houten,52.03402,5.16821,"['HTNC', 'UTLN']",260
HTNC,Houten Castellum,52.01701,5.17949,"['CL', 'HTN']",260
SGL,Houthem-St. Gerlach,50.873332977295,5.7972221374512,"['MES', 'VK']",380
HDG,Hurdegaryp,53.2187783,5.934543,"['FWD', 'LWC']",270
IJT,IJlst,53.0146614,5.6160801,"['SK', 'WK']",270
KPN,Kampen,52.559722900391,5.9216666221619,['ZLSH'],275
KPNZ,Kampen Zuid,52.5331,5.91309,"['DRON', 'ZL']",275
BZL,Kapelle-Biezelinge,51.480834960938,3.9561111927033,"['GS', 'KRG']",331
KRD,Kerkrade Centrum,50.861667633057,6.0574998855591,['CVM'],380
KTR,Kesteren,51.9313869,5.5833465,"['OP', 'TL']",275
KBK,Klarenbeek,52.17805480957,6.0836110115051,"['APDM', 'VEM']",275
KMR,Klimmen-Ransdaal,50.866390228271,5.8905553817749,"['SOG', 'VDL']",380
KZ,Koog aan de Zaan,52.458610534668,4.8055553436279,"['ZD', 'ZZS']",240
KMW,Koudum-Molkwerum,52.9028197,5.4106913,"['HNP', 'STV']",249
KBD,Krabbendijke,51.433334350586,4.1169443130493,"['KRG', 'RB']",331
KMA,Krommenie-Assendelft,52.49511,4.75417,"['UTG', 'WM']",240
KW,Kropswolde,53.1617362,6.7220882,"['GERP', 'MTH']",280
KRG,Kruiningen-Yerseke,51.465000152588,4.0372223854065,"['BZL', 'KBD']",331
ZLW,Lage Zwaluwe,51.69111251831,4.6630554199219,"['BDPB', 'BRD', 'DDZD', 'ZVB']",350
LG,Landgraaf,50.896389007568,6.019166469574,"['EGH', 'EGHM', 'HRL']",380
LLZM,Lansingerland-Zoetermeer,52.042222,4.517222,"['GD', 'ZTMO']",344
