code,start,end,wind,wind_max,temperature,rain,rain_duration,fog,thunder,snow,ice
310,2023-01-01 08:00:00,2023-01-01 09:00:00,9.0,13.0,10.2,0.05,0.0,False,False,False,False
319,2023-01-01 08:00:00,2023-01-01 09:00:00,4.0,12.0,12.2,0.0,0.0,False,False,False,False
340,2023-01-01 08:00:00,2023-01-01 09:00:00,5.0,11.0,11.0,0.5,24.0,False,False,False,False
344,2023-01-01 08:00:00,2023-01-01 09:00:00,7.0,11.0,11.2,0.0,0.0,False,False,False,False
348,2023-01-01 08:00:00,2023-01-01 09:00:00,7.0,10.0,10.9,0.0,0.0,False,False,False,False
350,2023-01-01 08:00:00,2023-01-01 09:00:00,5.0,11.0,11.2,0.1,18.0,False,False,False,False
370,2023-01-01 08:00:00,2023-01-01 09:00:00,3.0,6.0,10.9,0.3,36.0,False,False,False,False
375,2023-01-01 08:00:00,2023-01-01 09:00:00,7.0,14.0,10.8,3.3,60.0,False,False,False,False
377,2023-01-01 08:00:00,2023-01-01 09:00:00,9.0,14.0,13.3,0.0,0.0,False,False,False,False
380,2023-01-01 08:00:00,2023-01-01 09:00:00,9.0,14.0,12.9,0.0,0.0,False,False,False,False
215,2023-01-01 09:00:00,2023-01-01 10:00:00,8.0,13.0,12.0,0.0,0.0,False,False,False,False
235,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,15.0,10.9,0.0,0.0,False,False,False,False
240,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,14.0,11.7,0.0,0.0,False,False,False,False
249,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,16.0,11.4,0.0,0.0,False,False,False,False
251,2023-01-01 09:00:00,2023-01-01 10:00:00,11.0,15.0,9.8,0.0,0.0,False,False,False,False
260,2023-01-01 09:00:00,2023-01-01 10:00:00,5.0,9.0,12.0,0.0,0.0,False,False,False,False
267,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,14.0,9.8,0.0,0.0,False,False,False,False
269,2023-01-01 09:00:00,2023-01-01 10:00:00,7.0,11.0,11.4,0.0,0.0,False,False,False,False
270,2023-01-01 09:00:00,2023-01-01 10:00:00,8.0,12.0,10.3,0.0,0.0,False,False,False,False
273,2023-01-01 09:00:00,2023-01-01 10:00:00,6.0,10.0,11.0,0.0,0.0,False,False,False,False
275,2023-01-01 09:00:00,2023-01-01 10:00:00,6.0,10.0,11.5,0.0,0.0,False,False,False,False
279,2023-01-01 09:00:00,2023-01-01 10:00:00,9.0,16.0,12.2,0.0,0.0,False,False,False,False
