code,name,lat,lng
IJT,IJlst,53.0146614,5.6160801
KPN,Kampen,52.559722900391,5.9216666221619
KPNZ,Kampen Zuid,52.5331,5.91309
BZL,Kapelle-Biezelinge,51.480834960938,3.9561111927033
KRD,Kerkrade Centrum,50.861667633057,6.0574998855591
KTR,Kesteren,51.9313869,5.5833465
KBK,Klarenbeek,52.17805480957,6.0836110115051
KMR,Klimmen-Ransdaal,50.866390228271,5.8905553817749
KZ,Koog aan de Zaan,52.458610534668,4.8055553436279
KMW,Koudum-Molkwerum,52.9028197,5.4106913
KBD,Krabbendijke,51.433334350586,4.1169443130493
KMA,Krommenie-Assendelft,52.49511,4.75417
KW,Kropswolde,53.1617362,6.7220882
KRG,Kruiningen-Yerseke,51.465000152588,4.0372223854065
ZLW,Lage Zwaluwe,51.69111251831,4.6630554199219
LG,Landgraaf,50.896389007568,6.019166469574
LLZM,Lansingerland-Zoetermeer,52.042222,4.517222
LDM,Leerdam,51.894721984863,5.0913887023926
LW,Leeuwarden,53.195835113525,5.7922220230103
LWC,Leeuwarden Camminghaburen,53.2021808,5.8422968
LEDN,Leiden Centraal,52.166110992432,4.4816665649414
LDL,Leiden Lammenschans,52.146945953369,4.4924998283386
LLS,Lelystad Centrum,52.507778167725,5.4727778434753
LTV,Lichtenvoorde-Groenlo,52.01188,6.59641
LC,Lochem,52.166667938232,6.4263887405395
LP,Loppersum,53.3347145,6.7472625
LTN,Lunteren,52.085277557373,5.6244444847107
MZ,Maarheeze,51.304986,5.629796
MRN,Maarn,52.064167022705,5.3699998855591
MAS,Maarssen,52.135276794434,5.0336112976074
MT,Maastricht,50.850276947021,5.7055554389954
MTN,Maastricht Noord,50.87087,5.71774
MTR,Maastricht Randwyck,50.838611602783,5.7172222137451
MG,Mantgum,53.1296368,5.7131996
MRB,Mariënberg,52.50944519043,6.5752778053284
MTH,Martenshoek,53.1607232,6.7402989
MES,Meerssen,50.882879392551,5.7509994506836
MP,Meppel,52.69083404541,6.1975002288818
MDB,Middelburg,51.494720458984,3.6172223091126
MMLH,Mook-Molenhoek,51.766262,5.879133
NDB,Naarden-Bussum,52.280277252197,5.1569442749023
NA,Nieuw Amsterdam,52.718612670898,6.8486108779907
NVP,Nieuw Vennep,52.258888244629,4.6455554962158
NWK,Nieuwerkerk a/d IJssel,51.965278625488,4.6169443130493
NKK,Nijkerk,52.222221374512,5.4938888549805
NM,Nijmegen,51.843612670898,5.8522224426269
NMD,Nijmegen Dukenburg,51.824165344238,5.7955555915833
NMGO,Nijmegen Goffert,51.8273,5.822722
NMH,Nijmegen Heyendaal,51.826946258545,5.8674998283386
NML,Nijmegen Lent,51.863154,5.859625
NVD,Nijverdal,52.366111,6.462
NS,Nunspeet,52.370834350586,5.7852778434753
NH,Nuth,50.919445037842,5.8927779197693
OBD,Obdam,52.67805480957,4.9072222709656
OT,Oisterwijk,51.582221984863,5.1941666603088
ODZ,Oldenzaal,52.30638885498,6.9347224235535
OST,Olst,52.334720611572,6.1130557060242
OMN,Ommen,52.50944519043,6.4158334732056
OTB,Oosterbeek,51.994998931885,5.8400001525879
OP,Opheusden,51.9261615,5.6371145
O,Oss,51.765556335449,5.5322222709656
OW,Oss West,51.758056640625,5.5055556297302
ODB,Oudenbosch,51.587776184082,4.5333333015442
OVN,Overveen,52.391109466553,4.6061110496521
PMR,Purmerend,52.50305557251,4.9536108970642
PMO,Purmerend Overwhere,52.511390686035,4.9683332443237
PMW,Purmerend Weidevenne,52.496590632542,4.9356293678284
PT,Putten,52.264999389648,5.5752778053284
RAT,Raalte,52.391666412354,6.2775001525879
RVS,Ravenstein,51.794166564941,5.6358332633972
RV,Reuver,51.28321916653,6.0789585113525
RH,Rheden,52.0101,6.0314
RHN,Rhenen,51.958610534668,5.5783333778381
RSN,Rijssen,52.3122215271,6.5202779769897
RSW,Rijswijk,52.039722442627,4.3191666603088
RB,Rilland-Bath,51.422779083252,4.1611108779907
RM,Roermond,51.193054199219,5.9941668510437
RD,Roodeschool,53.421262,6.7587
RSD,Roosendaal,51.540279388428,4.4583334922791
RS,Rosmalen,51.714721679688,5.3680553436279
RTA,Rotterdam Alexander,51.951946258545,4.5536112785339
RTB,Rotterdam Blaak,51.920276641846,4.4888887405395
RTD,Rotterdam Centraal,51.92499923706,4.468888759613
RLB,Rotterdam Lombardijen,51.880001068115,4.531388759613
RTN,Rotterdam Noord,51.942222595215,4.4816665649414
RTST,Rotterdam Stadion,51.893890380859,4.5197219848633
RTZ,Rotterdam Zuid,51.904445648193,4.5102777481079
RL,Ruurlo,52.0810888,6.4492656
SPTN,Santpoort Noord,52.43388748169,4.6325001716614
SPTZ,Santpoort Zuid,52.419723510742,4.6313886642456
SSH,Sassenheim,52.215278,4.517222
SWD,Sauwerd,53.29113,6.5404
SGN,Schagen,52.784442901611,4.8052778244019
SDA,Scheemda,53.1655362,6.9777775
SDM,Schiedam Centrum,51.921243812803,4.4089937210083
SOG,Schin op Geul,50.856388092041,5.8722224235535
SN,Schinnen,50.939167022705,5.8744444847107
SHL,Schiphol Airport,52.30944442749,4.7619442939758
